order_item_id,order_id,product_id,quantity,sales
1,1001,116,5,225995
2,1002,129,4,102280
3,1003,110,5,123480
4,1004,101,1,22359
5,1005,114,2,48794
6,1006,129,3,76710
7,1007,124,3,146313
8,1008,125,4,109928
9,1009,112,1,28666
10,1010,113,1,3241
11,1011,119,5,135660
12,1012,107,3,23493
13,1013,118,3,71034
14,1014,103,4,44356
15,1015,117,4,176832
16,1016,125,5,137410
17,1017,109,5,181275
18,1018,122,5,60515
19,1019,104,2,58912
20,1020,104,4,117824
21,1021,112,3,85998
22,1022,118,3,71034
23,1023,125,2,54964
24,1024,107,5,39155
25,1025,117,4,176832
26,1026,117,1,44208
27,1027,102,1,42253
28,1028,105,3,140238
29,1029,126,4,194688
30,1030,117,4,176832
31,1031,105,5,233730
32,1032,129,5,127850
33,1033,105,3,140238
34,1034,130,5,156735
35,1035,111,2,73420
36,1036,113,5,16205
37,1037,124,3,146313
38,1038,119,3,81396
39,1039,117,5,221040
40,1040,118,4,94712
41,1041,123,5,10620
42,1042,110,4,98784
43,1043,127,1,17985
44,1044,112,3,85998
45,1045,122,1,12103
46,1046,114,5,121985
47,1047,110,1,24696
48,1048,120,4,198468
49,1049,109,5,181275
50,1050,119,2,54264
51,1051,124,1,48771
52,1052,119,4,108528
53,1053,106,5,186295
54,1054,121,5,80070
55,1055,125,4,109928
56,1056,105,2,93492
57,1057,102,5,211265
58,1058,123,1,2124
59,1059,107,1,7831
60,1060,115,3,71847
61,1061,114,2,48794
62,1062,114,2,48794
63,1063,114,5,121985
64,1064,125,5,137410
65,1065,130,4,125388
66,1066,128,1,46458
67,1067,123,2,4248
68,1068,117,2,88416
69,1069,118,3,71034
70,1070,122,4,48412
71,1071,117,4,176832
72,1072,111,2,73420
73,1073,115,5,119745
74,1074,111,5,183550
75,1075,112,3,85998
76,1076,120,4,198468
77,1077,107,2,15662
78,1078,109,5,181275
79,1079,110,2,49392
80,1080,110,3,74088
81,1081,123,2,4248
82,1082,123,4,8496
83,1083,111,4,146840
84,1084,112,5,143330
85,1085,130,3,94041
86,1086,110,1,24696
87,1087,119,5,135660
88,1088,113,4,12964
89,1089,127,3,53955
90,1090,125,2,54964
91,1091,110,1,24696
92,1092,110,1,24696
93,1093,112,4,114664
94,1094,121,3,48042
95,1095,124,4,195084
96,1096,107,2,15662
97,1097,127,5,89925
98,1098,109,5,181275
99,1099,123,3,6372
100,1100,105,1,46746
101,1101,120,5,248085
102,1102,108,2,91572
103,1103,102,5,211265
104,1104,108,2,91572
105,1105,102,1,42253
106,1106,114,3,73191
107,1107,123,4,8496
108,1108,104,2,58912
109,1109,101,5,111795
110,1110,130,2,62694
111,1111,114,4,97588
112,1112,116,2,90398
113,1113,125,3,82446
114,1114,111,3,110130
115,1115,121,1,16014
116,1116,130,1,31347
117,1117,121,5,80070
118,1118,108,5,228930
119,1119,124,1,48771
120,1120,130,2,62694
121,1121,114,2,48794
122,1122,130,1,31347
123,1123,127,4,71940
124,1124,126,4,194688
125,1125,106,3,111777
126,1126,129,1,25570
127,1127,101,3,67077
128,1128,119,5,135660
129,1129,104,3,88368
130,1130,110,4,98784
131,1131,121,5,80070
132,1132,117,4,176832
133,1133,129,2,51140
134,1134,128,5,232290
135,1135,115,3,71847
136,1136,107,1,7831
137,1137,111,2,73420
138,1138,124,4,195084
139,1139,121,3,48042
140,1140,123,2,4248
141,1141,101,3,67077
142,1142,126,3,146016
143,1143,119,2,54264
144,1144,106,5,186295
145,1145,128,4,185832
146,1146,127,4,71940
147,1147,117,3,132624
148,1148,103,4,44356
149,1149,122,1,12103
150,1150,106,2,74518
151,1151,116,3,135597
152,1152,130,2,62694
153,1153,101,3,67077
154,1154,113,2,6482
155,1155,115,3,71847
156,1156,111,3,110130
157,1157,119,5,135660
158,1158,101,3,67077
159,1159,121,3,48042
160,1160,123,2,4248
161,1161,102,1,42253
162,1162,115,3,71847
163,1163,106,4,149036
164,1164,122,5,60515
165,1165,130,3,94041
166,1166,123,1,2124
167,1167,121,3,48042
168,1168,112,5,143330
169,1169,108,2,91572
170,1170,105,4,186984
171,1171,105,4,186984
172,1172,124,5,243855
173,1173,112,4,114664
174,1174,123,5,10620
175,1175,130,4,125388
176,1176,125,5,137410
177,1177,126,2,97344
178,1178,125,2,54964
179,1179,122,5,60515
180,1180,128,1,46458
181,1181,117,4,176832
182,1182,117,3,132624
183,1183,103,5,55445
184,1184,104,1,29456
185,1185,127,5,89925
186,1186,129,5,127850
187,1187,107,5,39155
188,1188,118,2,47356
189,1189,106,3,111777
190,1190,128,5,232290
191,1191,115,1,23949
192,1192,122,2,24206
193,1193,123,5,10620
194,1194,116,1,45199
195,1195,129,5,127850
196,1196,115,1,23949
197,1197,115,2,47898
198,1198,117,4,176832
199,1199,115,5,119745
200,1200,102,5,211265
201,1201,115,3,71847
202,1202,124,1,48771
203,1203,113,3,9723
204,1204,127,1,17985
205,1205,124,2,97542
206,1206,119,1,27132
207,1207,102,4,169012
208,1208,112,1,28666
209,1209,118,1,23678
210,1210,130,1,31347
211,1211,130,4,125388
212,1212,102,3,126759
213,1213,114,2,48794
214,1214,125,2,54964
215,1215,125,4,109928
216,1216,112,4,114664
217,1217,115,4,95796
218,1218,113,1,3241
219,1219,122,5,60515
220,1220,105,3,140238
221,1221,104,2,58912
222,1222,118,4,94712
223,1223,117,2,88416
224,1224,124,2,97542
225,1225,127,1,17985
226,1226,125,1,27482
227,1227,110,4,98784
228,1228,122,5,60515
229,1229,114,5,121985
230,1230,113,2,6482
231,1231,108,4,183144
232,1232,112,2,57332
233,1233,109,2,72510
234,1234,130,1,31347
235,1235,102,4,169012
236,1236,120,1,49617
237,1237,108,2,91572
238,1238,103,1,11089
239,1239,120,1,49617
240,1240,115,5,119745
241,1241,122,1,12103
242,1242,108,1,45786
243,1243,113,4,12964
244,1244,108,5,228930
245,1245,107,1,7831
246,1246,105,5,233730
247,1247,110,2,49392
248,1248,127,5,89925
249,1249,111,5,183550
250,1250,120,3,148851
251,1251,108,3,137358
252,1252,129,2,51140
253,1253,122,5,60515
254,1254,108,4,183144
255,1255,110,3,74088
256,1256,102,5,211265
257,1257,119,2,54264
258,1258,121,4,64056
259,1259,118,4,94712
260,1260,102,3,126759
261,1261,121,4,64056
262,1262,126,5,243360
263,1263,111,4,146840
264,1264,114,2,48794
265,1265,110,4,98784
266,1266,106,5,186295
267,1267,116,2,90398
268,1268,128,2,92916
269,1269,110,2,49392
270,1270,126,4,194688
271,1271,130,1,31347
272,1272,118,4,94712
273,1273,114,5,121985
274,1274,117,2,88416
275,1275,113,2,6482
276,1276,109,2,72510
277,1277,111,1,36710
278,1278,130,4,125388
279,1279,128,3,139374
280,1280,103,5,55445
281,1281,124,2,97542
282,1282,102,3,126759
283,1283,113,5,16205
284,1284,120,1,49617
285,1285,128,1,46458
286,1286,107,5,39155
287,1287,124,5,243855
288,1288,107,4,31324
289,1289,107,3,23493
290,1290,110,1,24696
291,1291,107,2,15662
