product_id,product_name,category,price
101,Product_101,Electronics,22359
102,Product_102,Electronics,42253
103,Product_103,Furniture,11089
104,Product_104,Accessories,29456
105,Product_105,Accessories,46746
106,Product_106,Furniture,37259
107,Product_107,Electronics,7831
108,Product_108,Electronics,45786
109,Product_109,Electronics,36255
110,Product_110,Electronics,24696
111,Product_111,Accessories,36710
112,Product_112,Electronics,28666
113,Product_113,Electronics,3241
114,Product_114,Furniture,24397
115,Product_115,Electronics,23949
116,Product_116,Electronics,45199
117,Product_117,Electronics,44208
118,Product_118,Electronics,23678
119,Product_119,Accessories,27132
120,Product_120,Accessories,49617
121,Product_121,Electronics,16014
122,Product_122,Electronics,12103
123,Product_123,Furniture,2124
124,Product_124,Electronics,48771
125,Product_125,Furniture,27482
126,Product_126,Accessories,48672
127,Product_127,Electronics,17985
128,Product_128,Electronics,46458
129,Product_129,Electronics,25570
130,Product_130,Electronics,31347
